"STATISTIÈNA REGIJA";"TIP LASTNIŠTVA";"VRSTA STAVBE";"LETO";"Število prebivalcev"
"Podravska";"Lastniška stanovanja";"Vrsta stavbe - SKUPAJ";"2018";262539
"Podravska";"Lastniška stanovanja";"1 Stanovanja v stanovanjskih stavbah";"2011";255514
"Podravska";"Lastniška stanovanja";"1 Stanovanja v stanovanjskih stavbah";"2015";260323
"Podravska";"Lastniška stanovanja";"1 Stanovanja v stanovanjskih stavbah";"2018";256851
"Podravska";"Lastniška stanovanja";"1.1 Stanovanja v  enostanovanjskih stavbah";"2011";190868
"Podravska";"Lastniška stanovanja";"1.1 Stanovanja v  enostanovanjskih stavbah";"2015";193893
"Podravska";"Lastniška stanovanja";"1.1 Stanovanja v  enostanovanjskih stavbah";"2018";192675
"Podravska";"Lastniška stanovanja";"1.2 Stanovanja v dvostanovanjskih stavbah";"2011";12025
"Podravska";"Lastniška stanovanja";"1.2 Stanovanja v dvostanovanjskih stavbah";"2015";11980
"Podravska";"Lastniška stanovanja";"1.2 Stanovanja v dvostanovanjskih stavbah";"2018";11451
"Podravska";"Lastniška stanovanja";"1.3 Stanovanja v tro- ali veè stanovanjskih stavbah";"2011";52621
"Podravska";"Lastniška stanovanja";"1.3 Stanovanja v tro- ali veè stanovanjskih stavbah";"2015";54450
"Podravska";"Lastniška stanovanja";"1.3 Stanovanja v tro- ali veè stanovanjskih stavbah";"2018";52725
"Podravska";"Lastniška stanovanja";"2 Stanovanja v nestanovanjskih stavbah";"2011";5812
"Podravska";"Lastniška stanovanja";"2 Stanovanja v nestanovanjskih stavbah";"2015";5654
"Podravska";"Lastniška stanovanja";"2 Stanovanja v nestanovanjskih stavbah";"2018";5688
"Podravska";"Najeta stanovanja";"Vrsta stavbe - SKUPAJ";"2011";23805
"Podravska";"Najeta stanovanja";"Vrsta stavbe - SKUPAJ";"2015";20617
"Podravska";"Najeta stanovanja";"Vrsta stavbe - SKUPAJ";"2018";18829
"Podravska";"Najeta stanovanja";"1 Stanovanja v stanovanjskih stavbah";"2011";22329
"Podravska";"Najeta stanovanja";"1 Stanovanja v stanovanjskih stavbah";"2015";18827
"Podravska";"Najeta stanovanja";"1 Stanovanja v stanovanjskih stavbah";"2018";17014
"Podravska";"Najeta stanovanja";"1.1 Stanovanja v  enostanovanjskih stavbah";"2011";2520
"Podravska";"Najeta stanovanja";"1.1 Stanovanja v  enostanovanjskih stavbah";"2015";2082
"Podravska";"Najeta stanovanja";"1.1 Stanovanja v  enostanovanjskih stavbah";"2018";1831
"Podravska";"Najeta stanovanja";"1.2 Stanovanja v dvostanovanjskih stavbah";"2011";593
"Podravska";"Najeta stanovanja";"1.2 Stanovanja v dvostanovanjskih stavbah";"2015";467
"Podravska";"Najeta stanovanja";"1.2 Stanovanja v dvostanovanjskih stavbah";"2018";446
"Podravska";"Najeta stanovanja";"1.3 Stanovanja v tro- ali veè stanovanjskih stavbah";"2011";19216
"Podravska";"Najeta stanovanja";"1.3 Stanovanja v tro- ali veè stanovanjskih stavbah";"2015";16278
"Podravska";"Najeta stanovanja";"1.3 Stanovanja v tro- ali veè stanovanjskih stavbah";"2018";14737
"Podravska";"Najeta stanovanja";"2 Stanovanja v nestanovanjskih stavbah";"2011";1476
"Podravska";"Najeta stanovanja";"2 Stanovanja v nestanovanjskih stavbah";"2015";1790
"Podravska";"Najeta stanovanja";"2 Stanovanja v nestanovanjskih stavbah";"2018";1815
"Podravska";"Stanovanja z drugimi tipi lastništva";"Vrsta stavbe - SKUPAJ";"2011";27709
"Podravska";"Stanovanja z drugimi tipi lastništva";"Vrsta stavbe - SKUPAJ";"2015";24344
"Podravska";"Stanovanja z drugimi tipi lastništva";"Vrsta stavbe - SKUPAJ";"2018";27400
"Podravska";"Stanovanja z drugimi tipi lastništva";"1 Stanovanja v stanovanjskih stavbah";"2011";26631
"Podravska";"Stanovanja z drugimi tipi lastništva";"1 Stanovanja v stanovanjskih stavbah";"2015";23274
"Podravska";"Stanovanja z drugimi tipi lastništva";"1 Stanovanja v stanovanjskih stavbah";"2018";26064
"Podravska";"Stanovanja z drugimi tipi lastništva";"1.1 Stanovanja v  enostanovanjskih stavbah";"2011";11199
"Podravska";"Stanovanja z drugimi tipi lastništva";"1.1 Stanovanja v  enostanovanjskih stavbah";"2015";9822
"Podravska";"Stanovanja z drugimi tipi lastništva";"1.1 Stanovanja v  enostanovanjskih stavbah";"2018";10250
"Podravska";"Stanovanja z drugimi tipi lastništva";"1.2 Stanovanja v dvostanovanjskih stavbah";"2011";3798
"Podravska";"Stanovanja z drugimi tipi lastništva";"1.2 Stanovanja v dvostanovanjskih stavbah";"2015";2239
"Podravska";"Stanovanja z drugimi tipi lastništva";"1.2 Stanovanja v dvostanovanjskih stavbah";"2018";2377
"Podravska";"Stanovanja z drugimi tipi lastništva";"1.3 Stanovanja v tro- ali veè stanovanjskih stavbah";"2011";11634
"Podravska";"Stanovanja z drugimi tipi lastništva";"1.3 Stanovanja v tro- ali veè stanovanjskih stavbah";"2015";11213
"Podravska";"Stanovanja z drugimi tipi lastništva";"1.3 Stanovanja v tro- ali veè stanovanjskih stavbah";"2018";13437
"Podravska";"Stanovanja z drugimi tipi lastništva";"2 Stanovanja v nestanovanjskih stavbah";"2011";1078
"Podravska";"Stanovanja z drugimi tipi lastništva";"2 Stanovanja v nestanovanjskih stavbah";"2015";1070
"Podravska";"Stanovanja z drugimi tipi lastništva";"2 Stanovanja v nestanovanjskih stavbah";"2018";1336
"Koroška";"Tip lastništva -SKUPAJ";"Vrsta stavbe - SKUPAJ";"2011";71154
"Koroška";"Tip lastništva -SKUPAJ";"Vrsta stavbe - SKUPAJ";"2015";69948
"Koroška";"Tip lastništva -SKUPAJ";"Vrsta stavbe - SKUPAJ";"2018";68938
"Koroška";"Tip lastništva -SKUPAJ";"1 Stanovanja v stanovanjskih stavbah";"2011";69548
"Koroška";"Tip lastništva -SKUPAJ";"1 Stanovanja v stanovanjskih stavbah";"2015";68475
"Koroška";"Tip lastništva -SKUPAJ";"1 Stanovanja v stanovanjskih stavbah";"2018";67496
"Koroška";"Tip lastništva -SKUPAJ";"1.1 Stanovanja v  enostanovanjskih stavbah";"2011";46036
"Koroška";"Tip lastništva -SKUPAJ";"1.1 Stanovanja v  enostanovanjskih stavbah";"2015";45930
"Koroška";"Tip lastništva -SKUPAJ";"1.1 Stanovanja v  enostanovanjskih stavbah";"2018";45714
"Koroška";"Tip lastništva -SKUPAJ";"1.2 Stanovanja v dvostanovanjskih stavbah";"2011";3123
"Koroška";"Tip lastništva -SKUPAJ";"1.2 Stanovanja v dvostanovanjskih stavbah";"2015";3010
"Koroška";"Tip lastništva -SKUPAJ";"1.2 Stanovanja v dvostanovanjskih stavbah";"2018";2945
"Koroška";"Tip lastništva -SKUPAJ";"1.3 Stanovanja v tro- ali veè stanovanjskih stavbah";"2011";20389
"Koroška";"Tip lastništva -SKUPAJ";"1.3 Stanovanja v tro- ali veè stanovanjskih stavbah";"2015";19535
